Times;CH3 CH 3;CH4 CH 4;CH5 CH 5
17.137 800 ms;0;0;0
17.153 560 ms;0;0;1
17.155 680 ms;0;0;0
17.231 200 ms;0;0;1
17.233 320 ms;0;0;0
17.269 540 ms;0;0;1
17.269 600 ms;1;0;1
17.276 110 ms;1;0;0
17.276 170 ms;0;0;0
17.312 260 ms;0;0;1
17.312 290 ms;0;1;1
17.315 100 ms;0;1;0
17.315 130 ms;0;0;0
17.334 720 ms;0;0;1
17.336 840 ms;0;0;0
17.373 310 ms;0;0;1
17.373 340 ms;0;1;1
17.378 620 ms;0;1;0
17.378 650 ms;0;0;0
17.380 120 ms;0;0;1
17.380 150 ms;0;1;1
17.394 040 ms;0;1;0
17.394 070 ms;0;0;0
17.395 570 ms;0;1;0
17.395 600 ms;1;1;0
17.403 700 ms;1;1;1
17.403 740 ms;1;0;1
17.403 760 ms;0;0;1
17.405 820 ms;0;0;0
17.491 380 ms;0;0;1
17.491 410 ms;0;1;1
17.491 430 ms;1;1;1
17.493 360 ms;1;1;0
17.493 390 ms;1;0;0
17.493 410 ms;0;0;0
17.515 850 ms;0;0;1
17.517 970 ms;0;0;0
17.546 660 ms;0;0;1
17.546 710 ms;1;0;1
17.551 180 ms;1;0;0
17.551 240 ms;0;0;0
17.593 490 ms;0;0;1
17.595 610 ms;0;0;0
17.679 750 ms;0;0;1
17.681 880 ms;0;0;0
17.733 490 ms;0;0;1
17.735 600 ms;0;0;0
17.823 820 ms;0;0;1
17.823 880 ms;1;0;1
17.828 030 ms;1;0;0
17.828 090 ms;0;0;0
17.843 690 ms;0;0;1
17.845 810 ms;0;0;0
17.947 210 ms;0;0;1
17.949 330 ms;0;0;0
18.007 600 ms;0;0;1
18.009 710 ms;0;0;0
18.093 860 ms;0;0;1
18.095 980 ms;0;0;0
18.100 960 ms;0;0;1
18.101 020 ms;1;0;1
18.105 150 ms;1;0;0
18.105 210 ms;0;0;0
18.188 750 ms;0;0;1
18.190 880 ms;0;0;0
18.292 270 ms;0;0;1
18.294 390 ms;0;0;0
18.361 280 ms;0;0;1
18.363 410 ms;0;0;0
18.378 090 ms;0;0;1
18.378 160 ms;1;0;1
18.382 300 ms;1;0;0
18.382 360 ms;0;0;0
18.404 420 ms;0;0;1
18.406 540 ms;0;0;0
18.551 070 ms;0;0;1
18.553 190 ms;0;0;0
18.600 390 ms;0;0;1
18.600 420 ms;0;1;1
18.600 440 ms;1;1;1
18.602 400 ms;1;1;0
18.602 420 ms;1;0;0
18.602 450 ms;0;0;0
18.626 940 ms;0;0;1
18.626 970 ms;0;1;1
18.629 130 ms;0;1;0
18.629 160 ms;0;0;0
18.637 340 ms;0;0;1
18.639 460 ms;0;0;0
18.655 230 ms;0;0;1
18.655 290 ms;1;0;1
18.659 430 ms;1;0;0
18.659 480 ms;0;0;0
18.723 600 ms;0;0;1
18.725 730 ms;0;0;0
18.809 870 ms;0;0;1
18.811 990 ms;0;0;0
18.896 140 ms;0;0;1
18.898 260 ms;0;0;0
18.932 370 ms;0;0;1
18.932 430 ms;1;0;1
18.936 570 ms;1;0;0
18.936 630 ms;0;0;0
18.973 780 ms;0;0;1
18.975 900 ms;0;0;0
19.034 160 ms;0;0;1
19.036 280 ms;0;0;0
19.154 930 ms;0;0;1
19.157 060 ms;0;0;0
19.209 510 ms;0;0;1
19.209 570 ms;1;0;1
19.213 700 ms;1;0;0
19.213 760 ms;0;0;0
19.241 200 ms;0;0;1
19.243 320 ms;0;0;0
19.318 840 ms;0;0;1
19.320 960 ms;0;0;0
