time,duration,IPL
0.259839468,0.000092770,0
0.259932238,0.000002120,4
0.259934358,0.000084140,0
0.260018498,0.000002130,4
0.260020628,0.000021030,0
0.260041718,0.000004140,5
0.260045928,0.000012210,0
0.260058138,0.000002220,4
0.260060358,0.000013150,0
0.260073558,0.000001950,7
0.260075568,0.000011950,0
0.260087518,0.000002120,4
0.260089638,0.000075520,0
0.260165158,0.000002120,4
0.260167278,0.000110030,0
0.260277308,0.000002110,4
0.260279418,0.000039370,0
0.260318848,0.000004140,5
0.260323038,0.000014650,0
0.260337688,0.000002120,4
0.260339808,0.000092770,0
0.260432578,0.000002130,4
0.260434708,0.000101390,0
0.260536098,0.000002120,4
0.260538218,0.000057710,0
0.260595988,0.000004150,5
0.260600198,0.000013540,0
0.260613738,0.000001890,4
0.260615628,0.000004810,0
0.260620468,0.000002170,6
0.260622668,0.000008000,0
0.260630668,0.000002220,4
0.260632888,0.000240180,0
0.260873128,0.000004130,5
0.260877318,0.000272880,0
0.261150258,0.000004150,5
0.261154468,0.000048740,0
0.261203208,0.000002220,4
0.261205428,0.000221910,0
0.261427398,0.000004140,5
0.261431598,0.000181360,0
0.261613008,0.000001950,7
0.261615018,0.000089460,0
0.261704538,0.000004140,5
0.261708748,0.000066990,0
0.261775738,0.000002220,4
0.261777958,0.000203660,0
0.261981668,0.000006500,5
0.261988218,0.000270530,0
0.262258808,0.000006500,5
0.262265378,0.000027980,0
0.262293388,0.000002800,6
0.262296228,0.000052030,0
0.262348258,0.000002230,4
0.262350488,0.000004030,0
0.262354548,0.000005270,6
0.262359848,0.000001480,0
0.262361358,0.000013170,6
0.262374558,0.000001510,0
0.262376098,0.000159760,3
0.262535898,0.000004490,5
0.262540438,0.000129180,0
0.262669618,0.000002120,4
0.262671738,0.000019820,0
0.262691558,0.000002110,4
0.262693668,0.000033950,0
0.262727618,0.000002120,4
0.262729738,0.000083290,0
0.262813088,0.000004140,5
0.262817288,0.000098590,0
0.262915878,0.000002120,4
0.262917998,0.000002790,0
0.262920788,0.000002220,4
0.262923008,0.000087760,0
0.263010768,0.000002120,4
0.263012888,0.000077280,0
0.263090228,0.000004130,5
0.263094418,0.000002610,0
0.263097028,0.000002130,4
0.263099158,0.000002170,0
0.263101388,0.000001310,7
0.263102748,0.000080550,0
0.263183298,0.000002120,4
0.263185418,0.000084150,0
0.263269568,0.000002120,4
0.263271688,0.000049640,0
0.263321328,0.000002120,4
0.263323448,0.000043850,0
0.263367358,0.000004150,5
0.263371568,0.000070530,0
0.263442098,0.000002120,4
0.263444218,0.000049100,0
0.263493318,0.000002220,4
0.263495538,0.000032830,0
0.263528368,0.000002120,4
0.263530488,0.000084140,0
0.263614628,0.000002120,4
0.263616748,0.000027690,0
0.263644498,0.000004130,5
0.263648688,0.000052210,0
0.263700898,0.000002120,4
0.263703018,0.000066890,0
0.263769908,0.000002120,4
0.263772028,0.000101400,0
0.263873428,0.000002120,4
0.263875548,0.000046030,0
0.263921638,0.000004140,5
0.263925838,0.000033860,0
0.263959698,0.000002120,4
0.263961818,0.000084140,0
0.264045958,0.000002130,4
0.264048088,0.000017750,0
0.264065838,0.000002230,4
0.264068068,0.000046910,0
0.264114978,0.000002120,4
0.264117098,0.000081620,0
0.264198768,0.000004140,5
0.264202968,0.000015530,0
0.264218498,0.000002120,4
0.264220618,0.000084140,0
0.264304758,0.000002120,4
0.264306878,0.000084150,0
0.264391028,0.000002120,4
0.264393148,0.000049640,0
0.264442788,0.000002120,4
0.264444908,0.000030940,0
0.264475908,0.000004150,5
0.264480118,0.000014430,0
0.264494548,0.000002120,4
0.264496668,0.000135900,0
0.264632568,0.000002130,4
0.264634698,0.000003680,0
0.264638378,0.000002230,4
0.264640608,0.000026470,0
0.264667078,0.000002120,4
0.264669198,0.000083790,0
0.264753048,0.000004130,5
0.264757238,0.000065120,0
0.264822358,0.000002120,4
0.264824478,0.000084140,0
0.264908618,0.000002130,4
0.264910748,0.000066890,0
0.264977638,0.000002120,4
0.264979758,0.000050370,0
0.265030178,0.000004150,5
0.265034388,0.000046760,0
0.265081148,0.000002130,4
0.265083278,0.000049630,0
0.265132908,0.000002130,4
0.265135038,0.000058260,0
0.265193298,0.000002130,4
0.265195428,0.000015480,0
0.265210908,0.000002230,4
0.265213138,0.000094120,0
0.265307318,0.000004130,5
0.265311508,0.000028440,0
0.265339948,0.000002130,4
0.265342078,0.000075510,0
0.265417588,0.000002130,4
0.265419718,0.000092770,0
0.265512488,0.000002120,4
0.265514608,0.000069790,0
0.265584458,0.000004150,5
0.265588668,0.000010090,0
0.265598758,0.000002110,4
0.265600868,0.000084150,0
0.265685018,0.000002120,4
0.265687138,0.000066890,0
0.265754028,0.000002120,4
0.265756148,0.000027290,0
0.265783438,0.000002220,4
0.265785658,0.000063260,0
0.265848918,0.000002130,4
0.265851048,0.000010490,0
0.265861588,0.000004140,5
0.265865788,0.000060770,0
0.265926558,0.000002130,4
0.265928688,0.000101400,0
0.266030088,0.000002120,4
0.266032208,0.000084140,0
0.266116348,0.000002120,4
0.266118468,0.000020210,0
0.266138728,0.000004150,5
0.266142938,0.000059680,0
0.266202618,0.000002120,4
0.266204738,0.000084140,0
0.266288878,0.000002130,4
0.266291008,0.000064960,0
0.266355968,0.000002220,4
0.266358188,0.000016960,0
0.266375148,0.000002120,4
0.266377268,0.000038540,0
