time,duration,nestlevel
1.863631069,0.000003100,1
1.863634169,0.000083160,0
1.863717329,0.000003110,1
1.863720439,0.000091790,0
1.863812229,0.000003110,1
1.863815339,0.000035280,0
1.863850619,0.000005190,1
1.863855809,0.000002480,0
1.863858289,0.000002880,1
1.863861169,0.000166070,0
1.864027239,0.000002990,1
1.864030229,0.000097300,0
1.864127529,0.000005180,2
1.864132709,0.000005280,1
1.864137989,0.000266920,0
1.864404909,0.000007540,1
1.864412449,0.000269600,0
1.864682049,0.000007530,1
1.864689579,0.000010090,0
1.864699669,0.000001070,1
1.864700739,0.000003820,2
1.864704559,0.000004560,1
1.864709119,0.000053840,0
1.864762959,0.000006290,1
1.864769249,0.000002440,0
1.864771689,0.000015410,1
1.864787099,0.000002440,0
1.864789539,0.000169420,1
1.864958959,0.000005520,2
1.864964479,0.000120350,1
1.865084829,0.000003110,2
1.865087939,0.000019780,1
1.865107719,0.000003100,2
1.865110819,0.000035840,1
1.865146659,0.000003110,2
1.865149769,0.000006420,1
1.865156189,0.000080150,0
1.865236339,0.000005180,1
1.865241519,0.000030680,0
1.865272199,0.000003210,1
1.865275409,0.000065460,0
1.865340869,0.000003110,1
1.865343979,0.000083160,0
1.865427139,0.000003110,1
1.865430249,0.000083200,0
1.865513449,0.000001430,1
1.865514879,0.000002340,2
1.865517219,0.000006200,1
1.865523419,0.000002470,0
1.865525889,0.000003110,1
1.865528999,0.000080190,0
1.865609189,0.000003100,1
1.865612289,0.000065910,0
1.865678199,0.000003110,1
1.865681309,0.000100410,0
1.865781719,0.000003110,1
1.865784829,0.000005790,0
1.865790619,0.000005180,1
1.865795799,0.000048930,0
1.865844729,0.000003200,1
1.865847929,0.000020060,0
1.865867989,0.000003110,1
1.865871099,0.000083160,0
1.865954259,0.000003110,1
1.865957369,0.000083160,0
1.866040529,0.000003100,1
1.866043629,0.000024130,0
1.866067759,0.000005200,1
1.866072959,0.000053840,0
1.866126799,0.000003110,1
1.866129909,0.000065900,0
1.866195809,0.000003110,1
1.866198919,0.000100420,0
1.866299339,0.000003100,1
1.866302439,0.000042470,0
1.866344909,0.000005180,1
1.866350089,0.000035510,0
1.866385599,0.000003110,1
1.866388709,0.000028560,0
1.866417269,0.000003200,1
1.866420469,0.000051400,0
1.866471869,0.000003100,1
1.866474969,0.000065910,0
1.866540879,0.000003110,1
1.866543989,0.000078060,0
1.866622049,0.000005190,1
1.866627239,0.000017170,0
1.866644409,0.000003100,1
1.866647509,0.000083160,0
1.866730669,0.000003110,1
1.866733779,0.000083160,0
1.866816939,0.000003110,1
1.866820049,0.000079150,0
1.866899199,0.000005170,1
1.866904369,0.000002480,0
1.866906849,0.000003110,1
1.866909959,0.000079830,0
1.866989789,0.000003210,1
1.866992999,0.000002450,0
1.866995449,0.000003100,1
1.866998549,0.000062940,0
1.867061489,0.000003110,1
1.867064599,0.000100410,0
1.867165009,0.000003110,1
1.867168119,0.000008220,0
1.867176339,0.000005190,1
1.867181529,0.000069750,0
1.867251279,0.000003110,1
1.867254389,0.000083160,0
1.867337549,0.000003110,1
1.867340659,0.000065900,0
1.867406559,0.000003110,1
1.867409669,0.000043810,0
1.867453479,0.000005180,1
1.867458659,0.000051420,0
1.867510079,0.000003110,1
1.867513189,0.000049130,0
1.867562319,0.000003200,1
1.867565519,0.000030830,0
1.867596349,0.000003110,1
1.867599459,0.000022770,0
1.867622229,0.000003110,1
1.867625339,0.000105290,0
1.867730629,0.000005190,1
1.867735819,0.000033070,0
1.867768889,0.000003100,1
1.867771989,0.000083170,0
1.867855159,0.000003110,1
1.867858269,0.000083150,0
1.867941419,0.000003110,1
1.867944529,0.000063240,0
1.868007769,0.000005170,1
1.868012939,0.000014760,0
1.868027699,0.000003100,1
1.868030799,0.000083160,0
1.868113959,0.000003110,1
1.868117069,0.000017770,0
1.868134839,0.000003210,1
1.868138049,0.000053550,0
1.868191599,0.000003110,1
1.868194709,0.000048650,0
1.868243359,0.000003110,1
1.868246469,0.000038440,0
1.868284909,0.000005200,1
1.868290109,0.000082660,0
1.868372769,0.000003100,1
1.868375869,0.000083170,0
1.868459039,0.000003100,1
1.868462139,0.000083160,0
1.868545299,0.000003110,1
1.868548409,0.000013640,0
1.868562049,0.000005180,1
1.868567229,0.000064340,0
1.868631569,0.000003100,1
1.868634669,0.000072710,0
1.868707379,0.000003210,1
1.868710589,0.000007250,0
1.868717839,0.000003110,1
1.868720949,0.000083160,0
1.868804109,0.000003100,1
1.868807209,0.000031990,0
1.868839199,0.000005190,1
1.868844389,0.000045990,0
1.868890379,0.000003100,1
1.868893479,0.000083160,0
1.868976639,0.000003110,1
1.868979749,0.000083160,0
1.869062909,0.000003110,1
1.869066019,0.000014140,0
1.869080159,0.000003110,1
1.869083269,0.000033070,0
1.869116339,0.000005180,1
1.869121519,0.000105300,0
1.869226819,0.000003110,1
1.869229929,0.000049980,0
1.869279909,0.000003200,1
1.869283109,0.000038600,0
1.869321709,0.000003110,1
1.869324819,0.000014150,0
1.869338969,0.000003110,1
1.869342079,0.000051410,0
1.869393489,0.000007550,1
1.869401039,0.000024200,0
1.869425239,0.000003100,1
1.869428339,0.000152180,0
1.869580519,0.000003100,1
1.869583619,0.000083170,0
1.869666789,0.000011340,1
1.869678129,0.000022190,0
1.869700319,0.000003830,1
1.869704149,0.000048900,0
1.869753049,0.000003110,1
1.869756159,0.000006010,0
1.869762169,0.000006290,1
1.869768459,0.000002430,0
1.869770889,0.000015430,1
1.869786319,0.000002430,0
1.869788749,0.000050340,1
1.869839089,0.000003110,2
1.869842199,0.000010000,1
1.869852199,0.000003210,2
1.869855409,0.000069950,1
1.869925359,0.000003110,2
1.869928469,0.000014140,1
1.869942609,0.000003110,2
1.869945719,0.000001820,1
1.869947539,0.000005520,2
1.869953059,0.000119730,1
1.870072789,0.000025340,0
1.870098129,0.000003110,1
1.870101239,0.000083160,0
1.870184399,0.000003100,1
1.870187499,0.000037420,0
1.870224919,0.000005180,1
1.870230099,0.000040570,0
1.870270669,0.000003100,1
1.870273769,0.000083160,0
1.870356929,0.000003110,1
1.870360039,0.000064940,0
1.870424979,0.000003200,1
1.870428179,0.000015020,0
1.870443199,0.000003110,1
1.870446309,0.000055750,0
1.870502059,0.000005190,1
1.870507249,0.000022220,0
1.870529469,0.000002880,1
1.870532349,0.000246850,0
1.870779199,0.000005180,1
1.870784379,0.000213120,0
1.870997499,0.000003210,1
1.871000709,0.000055640,0
1.871056349,0.000005190,1
1.871061539,0.000271950,0
1.871333489,0.000005180,1
1.871338669,0.000231360,0
1.871570029,0.000003200,1
1.871573229,0.000037400,0
1.871610629,0.000005190,1
1.871615819,0.000271960,0
1.871887779,0.000005180,1
1.871892959,0.000249600,0
1.872142559,0.000003200,1
1.872145759,0.000019160,0
1.872164919,0.000005190,1
1.872170109,0.000271950,0
1.872442059,0.000005180,1
1.872447239,0.000267860,0
1.872715099,0.000009270,1
1.872724369,0.000217620,0
1.872941989,0.000002550,1
1.872944539,0.000051810,0
1.872996349,0.000005180,1
1.873001529,0.000271960,0
1.873273489,0.000005200,1
1.873278689,0.000008930,0
1.873287619,0.000003210,1
1.873290829,0.000259810,0
1.873550639,0.000005170,1
1.873555809,0.000271970,0
1.873827779,0.000005190,1
1.873832969,0.000027180,0
1.873860149,0.000003200,1
1.873863349,0.000241570,0
1.874104919,0.000005180,1
1.874110099,0.000271970,0
1.874382069,0.000007550,1
1.874389619,0.000033810,0
1.874423429,0.000003170,1
1.874426599,0.000006080,0
1.874432679,0.000003210,1
1.874435889,0.000057940,0
1.874493829,0.000002550,1
1.874496379,0.000162830,0
1.874659209,0.000007530,1
1.874666739,0.000032890,0
1.874699629,0.000003820,1
1.874703449,0.000057930,0
1.874761379,0.000006290,1
1.874767669,0.000002430,0
1.874770099,0.000015420,1
1.874785519,0.000002430,0
1.874787949,0.000148170,1
1.874936119,0.000005520,2
1.874941639,0.000063340,1
1.875004979,0.000003210,2
1.875008189,0.000081760,1
1.875089949,0.000003100,2
1.875093049,0.000019780,1
1.875112829,0.000003110,2
1.875115939,0.000069830,1
1.875185769,0.000003110,2
1.875188879,0.000008130,1
1.875197009,0.000016490,0
1.875213499,0.000005170,1
1.875218669,0.000127320,0
1.875345989,0.000003100,1
1.875349089,0.000083160,0
1.875432249,0.000003110,1
1.875435359,0.000055280,0
1.875490639,0.000005190,1
1.875495829,0.000022690,0
1.875518519,0.000003110,1
1.875521629,0.000056110,0
1.875577739,0.000003210,1
1.875580949,0.000023840,0
1.875604789,0.000003110,1
1.875607899,0.000065900,0
1.875673799,0.000003110,1
1.875676909,0.000090870,0
1.875767779,0.000005180,1
1.875772959,0.000004360,0
1.875777319,0.000003110,1
1.875780429,0.000083160,0
1.875863589,0.000003110,1
1.875866699,0.000083160,0
1.875949859,0.000003110,1
1.875952969,0.000045800,0
1.875998769,0.000003170,1
1.876001939,0.000034190,0
1.876036129,0.000003110,1
1.876039239,0.000005690,0
1.876044929,0.000005190,1
1.876050119,0.000019040,0
1.876069159,0.000002560,1
1.876071719,0.000050670,0
1.876122389,0.000003110,1
1.876125499,0.000024760,0
1.876150259,0.000003210,1
1.876153469,0.000037940,0
1.876191409,0.000003110,1
1.876194519,0.000100410,0
1.876294929,0.000003110,1
1.876298039,0.000014140,0
1.876312179,0.000003110,1
1.876315289,0.000006780,0
1.876322069,0.000005180,1
1.876327249,0.000140220,0
1.876467469,0.000003110,1
1.876470579,0.000065900,0
1.876536479,0.000003110,1
1.876539589,0.000059620,0
1.876599209,0.000005190,1
1.876604399,0.000035600,0
1.876639999,0.000003110,1
1.876643109,0.000079690,0
1.876722799,0.000003210,1
1.876726009,0.000002450,0
1.876728459,0.000003100,1
1.876731559,0.000080980,0
1.876812539,0.000003110,1
1.876815649,0.000057280,0
1.876872929,0.000003200,1
1.876876129,0.000005170,2
1.876881299,0.000002440,1
1.876883739,0.000101340,0
1.876985079,0.000003110,1
1.876988189,0.000065900,0
1.877054089,0.000003110,1
1.877057199,0.000096300,0
1.877153499,0.000005190,1
1.877158689,0.000002480,0
1.877161169,0.000003110,1
1.877164279,0.000011500,0
1.877175779,0.000003180,1
1.877178959,0.000065510,0
1.877244469,0.000001480,1
1.877245949,0.000002550,2
1.877248499,0.000004090,1
1.877252589,0.000042740,0
1.877295329,0.000003210,1
1.877298539,0.000034240,0
1.877332779,0.000003100,1
1.877335879,0.000065910,0
1.877401789,0.000003110,1
1.877404899,0.000025750,0
1.877430649,0.000005170,1
1.877435819,0.000002480,0
1.877438299,0.000003110,1
1.877441409,0.000141540,0
1.877582949,0.000003110,1
1.877586059,0.000091790,0
1.877677849,0.000003110,1
1.877680959,0.000022770,0
1.877703729,0.000009220,1
1.877712949,0.000137430,0
1.877850379,0.000003110,1
1.877853489,0.000014360,0
1.877867849,0.000003210,1
1.877871059,0.000065600,0
1.877936659,0.000003100,1
1.877939759,0.000045170,0
1.877984929,0.000005180,1
1.877990109,0.000032810,0
1.878022919,0.000003110,1
1.878026029,0.000083160,0
1.878109189,0.000003110,1
1.878112299,0.000083160,0
1.878195459,0.000003110,1
1.878198569,0.000063500,0
1.878262069,0.000005190,1
1.878267259,0.000002480,0
1.878269739,0.000003110,1
1.878272849,0.000095150,0
1.878367999,0.000003100,1
1.878371099,0.000069290,0
1.878440389,0.000003210,1
1.878443599,0.000010660,0
1.878454259,0.000003110,1
1.878457369,0.000081850,0
1.878539219,0.000005170,1
1.878544389,0.000002480,0
1.878546869,0.000003110,1
1.878549979,0.000080190,0
1.878630169,0.000003110,1
1.878633279,0.000083160,0
1.878716439,0.000003100,1
1.878719539,0.000062700,0
1.878782239,0.000003180,1
1.878785419,0.000008660,0
1.878794079,0.000003100,1
1.878797179,0.000019180,0
1.878816359,0.000005190,1
1.878821549,0.000057700,0
1.878879249,0.000002540,1
1.878881789,0.000007190,0
1.878888979,0.000003100,1
1.878892079,0.000083160,0
1.878975239,0.000003110,1
1.878978349,0.000034570,0
1.879012919,0.000003200,1
1.879016119,0.000045390,0
1.879061509,0.000003100,1
1.879064609,0.000028890,0
1.879093499,0.000005180,1
1.879098679,0.000049100,0
1.879147779,0.000003110,1
1.879150889,0.000074530,0
1.879225419,0.000003110,1
1.879228529,0.000091790,0
1.879320319,0.000003100,1
1.879323419,0.000047230,0
1.879370649,0.000007540,1
1.879378189,0.000019770,0
1.879397959,0.000003100,1
1.879401059,0.000083160,0
1.879484219,0.000003110,1
1.879487329,0.000083160,0
1.879570489,0.000003110,1
1.879573599,0.000011850,0
1.879585449,0.000003200,1
1.879588649,0.000059140,0
1.879647789,0.000007530,1
1.879655319,0.000010070,0
1.879665389,0.000003100,1
1.879668489,0.000030450,0
1.879698939,0.000003820,1
1.879702759,0.000040270,0
1.879743029,0.000003100,1
1.879746129,0.000014910,0
1.879761039,0.000006290,1
1.879767329,0.000002430,0
1.879769759,0.000016140,1
1.879785899,0.000002430,0
1.879788329,0.000049360,1
1.879837689,0.000003110,2
1.879840799,0.000042190,1
1.879882989,0.000002970,2
1.879885959,0.000038740,1
1.879924699,0.000005730,3
1.879930429,0.000004640,2
1.879935069,0.000050190,1
1.879985259,0.000003330,2
1.879988589,0.000026640,1
1.880015229,0.000003100,2
1.880018329,0.000037330,1
1.880055659,0.000002550,2
1.880058209,0.000008780,1
1.880066989,0.000003110,2
1.880070099,0.000018320,1
1.880088419,0.000069550,0
1.880157969,0.000003210,1
1.880161179,0.000018190,0
1.880179369,0.000003110,1
1.880182479,0.000019600,0
1.880202079,0.000005170,1
1.880207249,0.000049760,0
1.880257009,0.000003110,1
1.880260119,0.000091790,0
1.880351909,0.000003100,1
1.880355009,0.000091790,0
1.880446799,0.000003110,1
1.880449909,0.000029310,0
1.880479219,0.000005190,1
1.880484409,0.000022780,0
1.880507189,0.000003100,1
1.880510289,0.000091790,0
1.880602079,0.000003110,1
1.880605189,0.000100410,0
1.880705599,0.000003110,1
1.880708709,0.000021800,0
1.880730509,0.000003210,1
1.880733719,0.000022640,0
1.880756359,0.000005180,1
1.880761539,0.000030330,0
1.880791869,0.000002880,1
